sp;type;y'(seq.);y(ind.);indTot;t (days);radioT(m);angT(rad);tr;tr_se;act;act_se;s(km/day);s_se(km/day);r(m);r_se(m);ang(rad);ang_se(rad);d(ind/km2);d_se(ind/km2);effort;distr
cerela;clust3x1_1;1484;1703;1843;3279;30.46481171;0.39269925;0.51936566;0.063783673;0.552422;0.035933381;11.95718993;0.86943372;8.312685887;0.273734802;0.785398499;0.000659866;5.834561088;0.885169373;0.98;not patched
cerela;clust3x1_2;1682;1918;2098;3411;27.3673383;0.39269925;0.562298446;0.078279397;0.585926406;0.034795562;9.192582913;0.6719114;9.414057065;0.26578914;0.785398499;0.000314153;7.263543649;1.16419722;0.98;not patched
cerela;clust3x1_3;1471;1709;1930;3322;22.83553754;0.39269925;0.514449127;0.065345939;0.550224142;0.039847632;10.90296385;1.152616706;7.952811613;0.193672876;0.785398499;0.000269498;6.691749926;1.013470072;0.98;not patched
cerela;clust4;2696;3118;3517;5983;21.45040156;0.39269925;0.521143239;0.053045326;0.594571863;0.032046646;10.63525192;0.616890125;9.510679347;0.187223377;0.785398499;0.000243249;5.779442902;0.69025365;1.75;not patched
cerela;clust5;3877;4473;5020;9032;20.53249691;0.39269925;0.49523915;0.044084275;0.537046446;0.026808635;10.22940054;0.527549455;8.785021447;0.172295799;0.785398499;0.000360601;6.191997585;0.625963832;2.53;not patched
cerela;clustrand3;1409;1622;1813;3327;20.57036728;0.39269925;0.4875263;0.060201882;0.484811548;0.038448677;10.92499427;0.82900716;8.481422817;0.342915176;0.785398499;0.000599819;5.934315777;0.836387963;0.98;not patched
cerela;clustrand4;2688;3129;3477;5968;20.47963138;0.39269925;0.524296247;0.056510783;0.551239093;0.030641002;11.24398572;0.678791713;8.758525568;0.265974162;0.785398499;0.001454492;6.004654125;0.728001155;1.75;not patched
cerela;lax;2804;3491;4083;7655;21.46884118;0.39269925;0.456041803;0.03963594;0.572388277;0.025657762;13.24451407;0.796407149;8.894048092;0.192238684;0.785398499;0.000887473;4.366482126;0.47786446;2.53;not patched
cerela;laxrand3;1174;1469;1749;3192;18.92090142;0.39269925;0.460213033;0.053285446;0.468078481;0.036747701;9.363684215;0.962291894;8.405345796;0.277240322;0.785398499;0.000461164;6.59506537;1.067885368;0.98;not patched
cerela;laxrand4;2115;2643;3098;5822;20.52308112;0.39269925;0.453967709;0.048295506;0.536123736;0.030615341;13.11662688;0.98951532;8.555950337;0.194264439;0.785398499;0.000522417;4.562439073;0.621050741;1.75;not patched
cerela;laxsist3;1157;1496;1743;3209;20.94499104;0.39269925;0.466188844;0.071710009;0.521121007;0.041291964;12.48762983;0.920958244;8.870887557;0.266483496;0.785398499;0.000868003;4.746541922;0.860922009;0.98;not patched
cerela;laxsist4;2072;2594;3055;5738;21.42004039;0.39269925;0.452073893;0.047004794;0.560951566;0.036368958;13.0202678;0.678137973;8.253269039;0.176785832;0.785398499;0.000508031;4.744888857;0.580252513;1.75;not patched
damdam;clust3x1_1;2184;3288;3485;3279;20.00912525;0.39269925;1.002744739;0.432835596;0.531978803;0.030078335;7.173145706;0.317833601;8.519305149;0.211202848;0.785398499;0.001568082;18.46773024;5.608578991;0.98;not patched
damdam;clust3x1_2;1795;2418;2585;3411;19.97756191;0.39269925;0.708883026;0.098313838;0.598728313;0.035806364;8.661648139;0.575054842;8.208983961;0.235799193;0.785398499;0.000326584;11.2121289;1.788835183;0.98;not patched
damdam;clust3x1_3;2003;3218;3502;3322;19.32150718;0.39269925;0.968693558;0.467319719;0.581303964;0.032608559;7.443505422;0.323557214;8.942404322;0.268862225;0.785398499;0.000252378;16.4141023;5.467031215;0.98;not patched
damdam;clust4;3032;3967;4328;5983;20.09010272;0.39269925;0.663045295;0.065135718;0.601533851;0.032933878;10.54701076;0.637891468;8.741092145;0.208951206;0.785398499;0.00076517;8.097363409;0.991205863;1.75;not patched
damdam;clust5;4890;6975;7593;9032;18.43126528;0.39269925;0.772254207;0.164335997;0.588384459;0.024662977;8.470454511;0.504833246;8.549773128;0.148791492;0.785398499;0.000852208;12.01504615;1.925301065;2.53;not patched
damdam;clustrand3;1885;3051;3305;3327;18.66284818;0.39269925;0.917042381;0.406385954;0.521327662;0.030262791;7.758424979;0.762275351;8.678454255;0.321721294;0.785398499;0.000427739;15.36158395;5.296168474;0.98;not patched
